trust_A_initial,trust_B_initial,negative_spillover,rep,avg_trust_A_final,avg_trust_B_final
0.1,0.8,False,2,0.0,0.2999999999999996
0.1,0.8,False,3,0.0,0.2999999999999996
0.1,0.8,False,4,0.0,0.2999999999999996
0.1,0.8,False,5,0.0,0.2999999999999996
0.1,0.8,False,6,0.0,0.2999999999999996
0.1,0.8,False,7,0.0,0.2999999999999996
0.1,0.8,False,8,0.0,0.2999999999999996
0.1,0.8,False,9,0.0,0.2999999999999996
0.5,0.2,True,0,0.0,0.0
0.5,0.2,True,1,0.0,0.0
0.5,0.2,True,2,0.0,0.0
0.5,0.2,True,3,0.0,0.0
0.5,0.2,True,4,0.0,0.0
0.5,0.2,True,5,0.0,0.0
0.5,0.2,True,6,0.0,0.0
0.5,0.2,True,7,0.0,0.0
0.5,0.2,True,8,0.0,0.0
0.5,0.2,True,9,0.0,0.0
0.5,0.2,False,0,0.0,0.0
0.5,0.2,False,1,0.0,0.0
0.5,0.2,False,2,0.0,0.0
0.5,0.2,False,3,0.0,0.0
0.5,0.2,False,4,0.0,0.0
0.5,0.2,False,5,0.0,0.0
0.5,0.2,False,6,0.0,0.0
0.5,0.2,False,7,0.0,0.0
0.5,0.2,False,8,0.0,0.0
0.5,0.2,False,9,0.0,0.0
0.5,0.6,True,0,0.0,0.0
0.5,0.6,True,1,0.0,0.0
0.5,0.6,True,2,0.0,0.0
0.5,0.6,True,3,0.0,0.0
0.5,0.6,True,4,0.0,0.0
0.5,0.6,True,5,0.0,0.0
0.5,0.6,True,6,0.0,0.0
0.5,0.6,True,7,0.0,0.0
0.5,0.6,True,8,0.0,0.0
0.5,0.6,True,9,0.0,0.0
0.5,0.6,False,0,0.0,0.09999999999999958
0.5,0.6,False,1,0.0,0.09999999999999958
0.5,0.6,False,2,0.0,0.09999999999999958
0.5,0.6,False,3,0.0,0.09999999999999958
0.5,0.6,False,4,0.0,0.09999999999999958
0.5,0.6,False,5,0.0,0.09999999999999958
0.5,0.6,False,6,0.0,0.09999999999999958
0.5,0.6,False,7,0.0,0.09999999999999958
0.5,0.6,False,8,0.0,0.09999999999999958
0.5,0.6,False,9,0.0,0.09999999999999958
0.5,0.8,True,0,0.0,0.0
0.5,0.8,True,1,0.0,0.0
0.5,0.8,True,2,0.0,0.0
0.5,0.8,True,3,0.0,0.0
0.5,0.8,True,4,0.0,0.0
0.5,0.8,True,5,0.0,0.0
0.5,0.8,True,6,0.0,0.0
0.5,0.8,True,7,0.0,0.0
0.5,0.8,True,8,0.0,0.0
0.5,0.8,True,9,0.0,0.0
0.5,0.8,False,0,0.0,0.2999999999999996
0.5,0.8,False,1,0.0,0.2999999999999996
0.5,0.8,False,2,0.0,0.2999999999999996
0.5,0.8,False,3,0.0,0.2999999999999996
0.5,0.8,False,4,0.0,0.2999999999999996
0.5,0.8,False,5,0.0,0.2999999999999996
0.5,0.8,False,6,0.0,0.2999999999999996
0.5,0.8,False,7,0.0,0.2999999999999996
0.5,0.8,False,8,0.0,0.2999999999999996
0.5,0.8,False,9,0.0,0.2999999999999996
0.9,0.2,True,0,0.0,0.0
0.9,0.2,True,1,0.0,0.0
0.9,0.2,True,2,0.0,0.0
0.9,0.2,True,3,0.0,0.0
0.9,0.2,True,4,0.0,0.0
0.9,0.2,True,5,0.0,0.0
0.9,0.2,True,6,0.0,0.0
0.9,0.2,True,7,0.0,0.0
0.9,0.2,True,8,0.0,0.0
0.9,0.2,True,9,0.0,0.0
0.9,0.2,False,0,0.3999999999999996,0.0
0.9,0.2,False,1,0.3999999999999996,0.0
0.9,0.2,False,2,0.3999999999999996,0.0
0.9,0.2,False,3,0.3999999999999996,0.0
0.9,0.2,False,4,0.3999999999999996,0.0
0.9,0.2,False,5,0.3999999999999996,0.0
0.9,0.2,False,6,0.3999999999999996,0.0
0.9,0.2,False,7,0.3999999999999996,0.0
0.9,0.2,False,8,0.3999999999999996,0.0
0.9,0.2,False,9,0.3999999999999996,0.0
0.9,0.6,True,0,0.0,0.0
0.9,0.6,True,1,0.0,0.0
0.9,0.6,True,2,0.0,0.0
0.9,0.6,True,3,0.0,0.0
0.9,0.6,True,4,0.0,0.0
0.9,0.6,True,5,0.0,0.0
0.9,0.6,True,6,0.0,0.0
0.9,0.6,True,7,0.0,0.0
0.9,0.6,True,8,0.0,0.0
0.9,0.6,True,9,0.0,0.0
0.9,0.6,False,0,0.3999999999999996,0.09999999999999958
0.9,0.6,False,1,0.3999999999999996,0.09999999999999958
0.9,0.6,False,2,0.3999999999999996,0.09999999999999958
0.9,0.6,False,3,0.3999999999999996,0.09999999999999958
0.9,0.6,False,4,0.3999999999999996,0.09999999999999958
0.9,0.6,False,5,0.3999999999999996,0.09999999999999958
0.9,0.6,False,6,0.3999999999999996,0.09999999999999958
0.9,0.6,False,7,0.3999999999999996,0.09999999999999958
0.9,0.6,False,8,0.3999999999999996,0.09999999999999958
0.9,0.6,False,9,0.3999999999999996,0.09999999999999958
0.9,0.8,True,0,0.0,0.0
0.9,0.8,True,1,0.0,0.0
0.9,0.8,True,2,0.0,0.0
0.9,0.8,True,3,0.0,0.0
0.9,0.8,True,4,0.0,0.0
0.9,0.8,True,5,0.0,0.0
0.9,0.8,True,6,0.0,0.0
0.9,0.8,True,7,0.0,0.0
0.9,0.8,True,8,0.0,0.0
0.9,0.8,True,9,0.0,0.0
0.9,0.8,False,0,0.3999999999999996,0.2999999999999996
0.9,0.8,False,1,0.3999999999999996,0.2999999999999996
0.9,0.8,False,2,0.3999999999999996,0.2999999999999996
0.9,0.8,False,3,0.3999999999999996,0.2999999999999996
0.9,0.8,False,4,0.3999999999999996,0.2999999999999996
0.9,0.8,False,5,0.3999999999999996,0.2999999999999996
0.9,0.8,False,6,0.3999999999999996,0.2999999999999996
0.9,0.8,False,7,0.3999999999999996,0.2999999999999996
0.9,0.8,False,8,0.3999999999999996,0.2999999999999996
0.9,0.8,False,9,0.3999999999999996,0.2999999999999996
